groundSteering,slope
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
0.0719785,0.201754
0.0719785,0.208333
0.0719785,0.188264
0.0719785,0.139535
0.0719785,0.154412
0.0719785,0.160839
0.0719785,0.177632
0.0749791,0.168
0.149949,0.179931
0.149949,0.221557
0.131955,0.201835
0.0929737,0.248175
0.0659773,0.258373
0.0599851,0
0.0569845,0
0.0569845,0
0.0749791,0
0.0749791,0.15655
0.0779797,0.207865
0.0779797,0
0.0779797,0
0.0779797,0
0.101967,0
0.11396,0
0.110968,0
0.11396,0
0.110968,0
0.110968,0
0.110968,0
0.110968,0
0.110968,0
-0,0
-0,0
-0,0
-0,0
-0.113951,-0.153465
-0,-0.138889
-0.0179858,-0.169014
-0.0509744,-0.183529
-0,-0.207392
-0,-0.184397
-0,-0.199357
-0.0899643,-0.228324
-0.143948,-0.253197
-0.143948,-0.24307
-0.18593,-0.289308
-0.0899643,-0.316667
-0.0899643,-0.32287
-0,-0.326733
-0,0
-0,0
-0,0
-0.0239869,0
-0.14694,0
-0,0
-0,0
-0,0
-0,0
0.146949,0
-0,0.219858
-0,0.180723
-0,0.207071
0.161943,0.207756
0.143957,0.27896
0.0929737,0.228188
0.0569845,0.240437
0.0269964,0
0.0179946,0
0.0120023,0
0.0599851,0
0.0809714,0.292079
0.0899731,0.284615
0.206934,-7
0.236922,0.16763
0.242914,0.240741
0.0959743,0
0.0179946,0
-0,0.309091
0.0120023,0
0.0509833,0
0.0509833,0
0.00300058,0
0.0239958,0
0.029997,0
0.0120023,0
-0,0
-0,0
-0,0.118644
0.131955,0.15534
0.251916,0.139175
0.290888,0.157428
0.290888,0.150602
0.185939,0.186603
-0,0.193548
-0,0
-0,0
-0,0
-0,0
-0,0
0.290888,0
0.290888,0
-0,0
-0,-0.391892
-0.0359804,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
0.206934,0
-0,0
-0,0
0.260909,0
-0.104958,0
-0,0
-0,0
-0,0
-0,0
-0,0
0.203933,0.0965517
0.200933,0.145078
0.185939,0.134191
0.179937,0.136126
0.221928,0.193548
0.128963,0.15
-0,0.199234
-0,0
-0,0
-0,0
-0,0
0.203933,0
0.0929737,0
0.0899731,0
0.0689779,0
0.0239958,0
-0,0
-0,-0.37931
-0,0
-0,0
-0.0419816,0
-0.0239869,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
0.125962,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0.18593,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
0.125962,0
0.122962,0
0.0749791,0
0.0329887,0
0.0120023,0
-0,0
-0,0
-0,0
-0,0
0.0239958,0.160121
0.0239958,0.0983607
0.0239958,0.125
0.0239958,0.103797
0.0929737,0.111857
0.0929737,0.209709
0.0689779,0.200883
0.0689779,-0.0940594
0.098966,-0.0857143
0.098966,-0.0708502
0.182938,0
0.212926,-0.0459364
0.290888,-0.0811518
0.290888,-0.0785714
0.290888,0.00334448
0.290888,0.289256
0.290888,0
0.242914,0.375
-0,0.377358
-0,0
-0,0
-0,0
-0.053975,0
-0,0
0.188939,0
-0,0.504587
-0,0
0.0120023,0
-0,0
-0,0
-0,0
-0,0
-0,0.0823529
-0,0
-0,0.282051
-0,0
0.0629856,0
0.290888,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0.0269875,0
-0.290888,0
-0,0
-0,0
-0,0
0.0479916,0.162667
0.221928,0.237705
0.125962,0.147541
0.00600117,0.152985
0.233921,0.236246
0.206934,0.189974
0.197932,0.111524
0.164943,0.208791
0.164943,0.183727
0.140956,0.156863
0.0749791,0.208955
0.0150029,0
-0,0
-0,0
-0,0
-0,0
-0,0
0.0899731,0
0.185939,0
0.206934,0
0.173945,0
0.0539839,0
-0,0
-0,0
-0,-0.241379
-0,-0.123016
-0.239914,-0.141593
-0,-0.158774
-0,-0.176166
-0,-0.223235
-0.137947,-0.215569
-0,-0.203636
-0,-0.233677
-0.152941,-0.224684
-0,-0.296588
-0,-0.304054
-0.290888,-0.347826
-0.290888,-0.4
-0.290888,-0.470199
-0,-0.470588
-0,-0.425339
-0.014994,-0.391304
-0.290888,0
-0,0
-0,-0.51145
-0.104958,0
-0.0989571,0
-0,0
-0,0
-0,0
-0.0599762,0
-0,0
-0,0
-0,0
0.0120023,0.136095
0.290888,0.170213
0.290888,0.173529
-0,0.167109
-0,0.209026
0.290888,0.208678
0.290888,0.191781
0.257917,0.211921
-0,0.242236
0.272911,0.244565
0.290888,0.235023
0.290888,0.265252
-0,0
-0,0
0.188939,0
0.290888,0
-0,0
-0,-17
0.0150029,0
0.125962,0
0.137956,0
0.137956,0
0.134955,0
0.143957,0
0.0659773,0
-0,0
-0,0
-0,0
0.0749791,0
0.122962,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
